User_ID,FeatureX,FeatureY,Countries_ID,Created At Month,fm_total_activities,fm_discussions,fm_comments,fm_comp_participations,fm_act_$create_alias,fm_act_$identify,fm_act_Confirmed_Email,fm_act_Created_Submission,fm_act_Downloaded_Competition_Datafile,fm_act_Joined_Competition,fm_act_Signed_Up,fm_act_Updated_Discussion,fm_act_Updated_Profile,fm_act_Viewed_All_Competitions,fm_act_Viewed_All_Discussions,fm_act_Viewed_All_Jobs,fm_act_Viewed_All_Learning_Pages,fm_act_badge_OCZE,fm_act_comp_ID_528W,active_second_month
ID_7TAHD093,0,0,X9GR,1,63.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,16.0,0.0,4.0,1.0,13.0,1
ID_HBC38F13,0,0,X9GR,12,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0
ID_5V8MKZIX,0,0,X9GR,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_OJQBCCT2,0,0,X9GR,2,34.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,13.0,1.0,2.0,1.0,0.0,0
ID_ISFHFK93,0,0,X9GR,12,47.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,12.0,1.0,4.0,0.0,0.0,0
ID_D1PLPUGM,0,0,X9GR,12,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,6.0,0.0,2.0,0
ID_0GJ8LKKP,0,0,X9GR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_YJNDM3W1,0,0,X9GR,12,16.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0
ID_Y1VZP0WG,0,0,X9GR,12,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,3.0,0
ID_XABPFUPQ,0,0,X9GR,1,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
ID_RGQ5CMRT,0,0,X9GR,3,57.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,24.0,8.0,0.0,7.0,1.0,0.0,0
ID_C0QUD2KC,1,0,X9GR,11,15.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0
ID_MVWRQYKA,0,1,X9GR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_YTDBW07G,0,1,X9GR,11,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ID_4SI233TQ,0,0,X9GR,3,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0
ID_5RENLVCS,0,1,X9GR,12,20.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,4.0,0.0,0.0,0
ID_K5CNBB1X,1,0,X9GR,12,35.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,5.0,10.0,1.0,4.0,0.0,4.0,0
ID_FMFOQFCQ,0,0,X9GR,1,34.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,9.0,0.0,7.0,1.0,3.0,0
ID_DMD15MNS,1,1,X9GR,1,113.0,2.0,0.0,1.0,1.0,3.0,1.0,16.0,5.0,1.0,1.0,10.0,3.0,11.0,24.0,0.0,8.0,1.0,22.0,1
ID_L9CNOJ1K,0,0,X9GR,11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_4JWH40NF,0,3,X9GR,12,24.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,3.0,0
ID_2L7FD5D7,0,0,X9GR,12,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
ID_9ET25KB6,0,0,X9GR,12,20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,0.0,0.0,0
ID_9GWEFV7K,0,0,X9GR,12,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0
ID_OH4P6KF8,0,0,X9GR,12,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0
ID_LN8MKZI4,0,0,X9GR,1,38.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,12.0,0.0,2.0,1.0,0.0,1
ID_KL7OBZXK,0,0,X9GR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_AFVOVXW3,1,0,X9GR,1,32.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,5.0,1.0,9.0,0.0,3.0,1.0,3.0,0
ID_OAT2Z0FH,0,0,X9GR,1,129.0,0.0,6.0,2.0,1.0,4.0,1.0,2.0,6.0,2.0,1.0,0.0,0.0,36.0,21.0,1.0,9.0,1.0,22.0,1
ID_P3I0N5DG,1,1,X9GR,12,64.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,6.0,4.0,14.0,0.0,0.0,0
ID_NQWWDZZK,0,0,X9GR,11,27.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0
ID_A0UQPXF7,0,0,X9GR,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,0
ID_351OVD0W,0,0,X9GR,12,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
ID_X4BO0YND,1,0,X9GR,12,52.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,10.0,7.0,2.0,6.0,0.0,5.0,0
ID_70S598VL,0,0,X9GR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_QHKYCSDQ,1,1,X9GR,1,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,0
ID_2C1QJV8J,0,0,X9GR,12,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0
ID_8K9SPQFI,0,0,X9GR,11,26.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0
ID_U1IJB9D9,0,0,X9GR,1,148.0,1.0,0.0,1.0,1.0,1.0,1.0,81.0,0.0,1.0,1.0,1.0,0.0,39.0,8.0,0.0,3.0,1.0,9.0,1
ID_4X2WH7V0,0,0,X9GR,12,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0
ID_4Q46E9FH,0,0,X9GR,12,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0
ID_73UJN86W,0,0,X9GR,12,24.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,5.0,2.0,2.0,0.0,0.0,0
ID_G5XOJSPP,0,1,X9GR,12,22.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,2.0,0.0,0.0,0
ID_6ZV38UEI,0,0,X9GR,2,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
ID_UWELNZ41,1,0,X9GR,2,32.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.0,5.0,0.0,1.0,1.0,0.0,0
ID_IXT2UEKJ,1,0,X9GR,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_OMO72Y9B,0,0,X9GR,1,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
ID_SJD8B05K,0,0,X9GR,12,26.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,3.0,0.0,1.0,0.0,4.0,0
ID_OJ2T55DP,0,0,X9GR,12,21.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,0.0,3.0,0.0,0.0,0
ID_QK3NRRV1,0,0,X9GR,12,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0
ID_7LB4350W,0,0,X9GR,12,62.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0,19.0,1.0,6.0,0.0,5.0,0
ID_2PPOCVL2,0,0,X9GR,12,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0
ID_P4SR71JD,1,1,X9GR,1,146.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,10.0,1.0,1.0,0.0,2.0,23.0,53.0,0.0,22.0,1.0,21.0,0
ID_1IXLFBL0,0,0,X9GR,12,22.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,2.0,0
ID_FK2LIFC3,0,0,X9GR,12,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0
ID_9N9PKX0T,0,0,X9GR,12,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0
ID_6NWT2NGR,1,0,X9GR,12,56.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,1.0,0.0,25.0,0
ID_7Q8ED57K,0,1,X9GR,12,92.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,23.0,30.0,1.0,11.0,0.0,6.0,0
ID_4DS3ZDJ2,1,0,X9GR,12,31.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,3.0,0.0,1.0,0
ID_Q8VEFBEI,0,0,X9GR,12,35.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,9.0,0
ID_FT9I8T0Q,1,0,X9GR,12,23.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0
ID_C5M47596,0,0,X9GR,1,88.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,14.0,13.0,4.0,6.0,1.0,19.0,1
ID_WLFH3INW,0,0,X9GR,12,25.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,2.0,0
ID_4TYK262Z,0,0,X9GR,12,10.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0
ID_1VGQ3MN0,0,0,X9GR,11,24.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1
ID_RR5FJVY6,0,0,X9GR,1,74.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,23.0,2.0,8.0,15.0,0.0,6.0,1.0,7.0,1
ID_G3L0QVP3,0,1,X9GR,12,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0
ID_98KP92NY,0,0,X9GR,12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_LU7A9OQV,0,1,X9GR,1,28.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,4.0,0
ID_HLBCGUIA,0,0,X9GR,1,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0
ID_J02LSAUY,0,0,X9GR,12,57.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,8.0,3.0,6.0,0.0,0.0,0
ID_7OWT3WQR,1,0,X9GR,1,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,2.0,0.0,1.0,0.0,0
ID_RZPQWNK7,1,0,X9GR,12,84.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,11.0,1.0,1.0,19.0,3.0,6.0,19.0,1.0,4.0,0.0,10.0,0
ID_MKQE0KP2,0,1,X9GR,1,20.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,4.0,0
ID_RQEQ74SK,0,0,X9GR,12,39.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,7.0,8.0,0.0,2.0,0.0,2.0,0
ID_IKA5CRGM,0,0,X9GR,1,18.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1
ID_6QUAHNA4,0,1,X9GR,1,250.0,1.0,0.0,1.0,1.0,3.0,1.0,45.0,10.0,1.0,1.0,5.0,0.0,8.0,19.0,0.0,3.0,1.0,84.0,1
ID_4VJ4DA7N,0,0,X9GR,12,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0
ID_RZO9Y3AM,0,0,X9GR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_W83B4OTI,0,0,X9GR,12,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0
ID_OGOMIQYL,0,0,X9GR,1,27.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,0.0,1.0,1.0,4.0,0
ID_PO4VEE9G,0,1,X9GR,1,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0
ID_L8UBZK66,1,1,X9GR,1,57.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,39.0,3.0,0.0,2.0,1.0,2.0,0
ID_AC8HAGSZ,0,0,X9GR,1,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_XHMLJX4I,0,1,X9GR,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_IHP00CLO,0,0,X9GR,3,48.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,16.0,2.0,4.0,1.0,0.0,0
ID_QIGNV59D,0,0,X9GR,12,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0
ID_M5L2DYMO,0,0,X9GR,1,28.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,5.0,0
ID_7RZJUUDR,0,1,X9GR,12,43.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,6.0,0.0,6.0,0.0,0.0,0
ID_4YQJA1KG,0,1,X9GR,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_4X7G5ECR,0,0,X9GR,12,25.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,0
ID_CAF56X8R,0,0,X9GR,12,43.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,21.0,7.0,0.0,4.0,0.0,0.0,0
ID_IK3TJNB3,0,0,X9GR,12,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0
ID_NJ68KUX7,0,0,X9GR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_7EENN2EE,1,0,X9GR,5,58.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,39.0,1.0,0.0,1.0,1.0,0.0,0
ID_EQ9TOFQ7,0,1,X9GR,12,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,5.0,0.0,1.0,0.0,5.0,0
ID_6YUZ885D,0,1,X9GR,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_FJW9CBC0,0,0,X9GR,1,26.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,5.0,1
ID_6XJFXBS2,0,1,X9GR,12,22.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,1.0,0
ID_8YFNGI0A,0,0,X9GR,12,18.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0
ID_KRO2M5WA,0,0,X9GR,12,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ID_8ZTC5Y7X,1,0,X9GR,1,50.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,14.0,6.0,2.0,7.0,0.0,2.0,1.0,0.0,0
ID_8YC1N7MA,0,1,X9GR,1,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0
ID_B73U9DYD,0,1,X9GR,12,56.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,19.0,11.0,0.0,6.0,0.0,3.0,0
ID_6YZBZT7P,0,0,X9GR,12,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,2.0,0
ID_4NFD9IXG,1,0,X9GR,2,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_937H9DD6,0,0,X9GR,2,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,1
ID_T9RAQY4T,0,0,X9GR,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID_MV6WB19Q,0,0,X9GR,1,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
ID_2O74N45Z,0,1,X9GR,1,15.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0
ID_WEQI0DBW,0,1,X9GR,11,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0
ID_EFVKIS90,0,0,X9GR,1,31.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,10.0,0.0,3.0,1.0,3.0,0
ID_ZXZORYZZ,0,1,X9GR,11,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0
ID_XU6TGXYM,0,0,X9GR,12,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ID_QKHJA5U9,0,1,X9GR,1,40.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,7.0,0.0,3.0,1.0,6.0,1
ID_URW75PVV,0,1,X9GR,1,18.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0
ID_BAYBWPQJ,0,0,X9GR,12,48.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,9.0,12.0,0.0,10.0,0.0,1.0,0
ID_7ZC665UM,0,0,X9GR,12,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,0
